TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T
Bradley,55.5,48.3,17.8,19,29.3,28.6,27.9,34.5,55.1,46.9,37.4,33.8,66.5
Southern Utah,48.3,52.3,16.7,17,27.8,33.7,36.8,32.3,50.9,52.7,28.8,34.1,69.9
Marshall,46.6,51.4,16.5,16.4,29.8,27.5,29.4,29.6,47.4,50.3,30.4,35.6,71
Akron,52.3,48.9,16.9,17.3,29.8,25.6,34,29.1,54.4,50.4,32.9,30.8,65.6
Stephen F. Austin,49,49,22.4,23,34.4,29.8,40.6,48,49.6,45.2,31.7,37.1,70
Saint Louis,50.6,53.6,17.4,14.1,25.9,28.4,36.,34.7,48.1,53.9,36.,35.5,69.7
UC Irvine,51.7,45.8,17.4,17.9,30.8,27.7,34.9,35.3,51.3,44.1,35.3,33.1,68.9
San Diego,49.5,52.9,18.5,17.5,26.9,31.3,31.8,36.9,48.1,54,34.8,34.3,71.2
Santa Clara,52.4,48.3,18.1,14.3,34.3,26.5,30.1,34.2,52.5,48.7,34.8,31.8,68.7
San Fransisco,55.6,49.6,17.2,20.4,30.3,23.9,24.5,39.1,57.8,48.8,34.8,33.9,67.4
Air Force,54,53.8,19,18.1,24.2,31.3,29.8,38.9,53.6,53,36.2,36.9,62.4
Colorado St.,55,49.3,14.9,17.3,23,27.5,31.6,30.8,57.5,48.2,34,34.3,66.2
Wyoming,50.5,53.5,19.3,15.9,28.8,29.8,38.9,27.2,48.9,54.7,35.5,34.5,67.5
UNLV, 51.8,50.3,15.6,18.2,29.3,31.3,32.9,31.5,53,51.6,33.1,32.2,65.3
New Mexico,51.7,49.1,14.2,20.3,32.8,26.4,35,34,51.9,49.9,34.2,31.9,73.7
Fresno St.,52.5,53.3,18.9,15.8,25,29.9,29.9,27.5,53.8,52.1,33.6,36.9,65.8
Boise St.,52.6,49.7,16.7,17.2,32.1,22.8,35.8,32.7,52.4,52,35.2,30.4,66.9
San Jose St.,51.9,54.1,15.5,15.9,22.8,30.3,22.9,35.9,51.5,52.1,35,38.5,66
San Diego St.,51,47.3,16.3,18.5,31.2,27.1,38.3,31.6,52.9,49.3,31.9,29.7,67
Nevada,53,48.1,14.8,17.4,28,26.8,44.8,33.2,52.5,48.7,36,31.4,66.9
Utah St.,54,48.9,16.4,16.7,28.6,24.8,38.4,30.7,57.5,53,31.2,28,69






